STATUS | wrapper  | 2024/05/08 15:03:36 | --> Wrapper Started as Console
STATUS | wrapper  | 2024/05/08 15:03:36 | Launching a JVM...
INFO   | jvm 1    | 2024/05/08 15:03:36 | NOTE: Picked up JDK_JAVA_OPTIONS: --add-reads=java.xml=java.logging --add-opens java.base/java.security=ALL-UNNAMED --add-opens java.base/java.net=ALL-UNNAMED --add-opens java.base/java.lang=ALL-UNNAMED --add-opens java.base/java.util=ALL-UNNAMED --add-opens java.base/java.util.concurrent=ALL-UNNAMED --add-opens java.base/java.util.concurrent.atomic=ALL-UNNAMED --add-opens java.naming/javax.naming.spi=ALL-UNNAMED --add-opens java.rmi/sun.rmi.transport.tcp=ALL-UNNAMED --add-exports=java.base/sun.net.www.protocol.http=ALL-UNNAMED --add-exports=java.base/sun.net.www.protocol.https=ALL-UNNAMED --add-exports=java.base/sun.net.www.protocol.jar=ALL-UNNAMED --add-exports=jdk.xml.dom/org.w3c.dom.html=ALL-UNNAMED --add-exports=jdk.naming.rmi/com.sun.jndi.url.rmi=ALL-UNNAMED
INFO   | jvm 1    | 2024/05/08 15:03:37 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2024/05/08 15:03:37 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2024/05/08 15:03:37 | 
INFO   | jvm 1    | 2024/05/08 15:03:37 | Java Runtime: Oracle Corporation 17.0.10 C:\Program Files\Java\jdk-17
INFO   | jvm 1    | 2024/05/08 15:03:37 |   Heap sizes: current=1048576k  free=1037312k  max=1048576k
INFO   | jvm 1    | 2024/05/08 15:03:37 |     JVM args: --add-reads=java.xml=java.logging --add-opens=java.base/java.security=ALL-UNNAMED --add-opens=java.base/java.net=ALL-UNNAMED --add-opens=java.base/java.lang=ALL-UNNAMED --add-opens=java.base/java.util=ALL-UNNAMED --add-opens=java.base/java.util.concurrent=ALL-UNNAMED --add-opens=java.base/java.util.concurrent.atomic=ALL-UNNAMED --add-opens=java.naming/javax.naming.spi=ALL-UNNAMED --add-opens=java.rmi/sun.rmi.transport.tcp=ALL-UNNAMED --add-exports=java.base/sun.net.www.protocol.http=ALL-UNNAMED --add-exports=java.base/sun.net.www.protocol.https=ALL-UNNAMED --add-exports=java.base/sun.net.www.protocol.jar=ALL-UNNAMED --add-exports=jdk.xml.dom/org.w3c.dom.html=ALL-UNNAMED --add-exports=jdk.naming.rmi/com.sun.jndi.url.rmi=ALL-UNNAMED -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=false -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Djava.security.auth.login.config=../../conf/login.config -Djolokia.conf=file:..\\..\\conf\\jolokia-access.xml -Xms1024m -Xmx1024m -Djava.library.path=../../bin/win64 -Dwrapper.key=7flHRVj44caz29Sm -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=6304 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2024/05/08 15:03:37 | Extensions classpath:
INFO   | jvm 1    | 2024/05/08 15:03:37 |   [..\..\lib,..\..\lib\camel,..\..\lib\optional,..\..\lib\web,..\..\lib\extra]
INFO   | jvm 1    | 2024/05/08 15:03:37 | ACTIVEMQ_HOME: ..\..
INFO   | jvm 1    | 2024/05/08 15:03:37 | ACTIVEMQ_BASE: ..\..
INFO   | jvm 1    | 2024/05/08 15:03:37 | ACTIVEMQ_CONF: ..\..\conf
INFO   | jvm 1    | 2024/05/08 15:03:37 | ACTIVEMQ_DATA: ..\..\data
INFO   | jvm 1    | 2024/05/08 15:03:54 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2024/05/08 15:03:56 |  INFO | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\KT_TKPM\apache-activemq-6.0.1\bin\win64\..\..\data\kahadb]
INFO   | jvm 1    | 2024/05/08 15:03:56 |  INFO | Starting Persistence Adapter: KahaDBPersistenceAdapter[D:\KT_TKPM\apache-activemq-6.0.1\bin\win64\..\..\data\kahadb]
INFO   | jvm 1    | 2024/05/08 15:03:56 |  INFO | Starting KahaDBStore
INFO   | jvm 1    | 2024/05/08 15:03:56 |  INFO | Opening MessageDatabase
INFO   | jvm 1    | 2024/05/08 15:03:56 |  INFO | Starting Temp Data Store
INFO   | jvm 1    | 2024/05/08 15:03:56 |  INFO | PListStore:[D:\KT_TKPM\apache-activemq-6.0.1\bin\win64\..\..\data\localhost\tmp_storage] started
INFO   | jvm 1    | 2024/05/08 15:03:56 |  INFO | Starting Job Scheduler Store
INFO   | jvm 1    | 2024/05/08 15:03:56 |  INFO | Persistence Adapter successfully started
INFO   | jvm 1    | 2024/05/08 15:03:56 |  INFO | Apache ActiveMQ 6.0.1 (localhost, ID:THUYKIEU-55181-1715155436489-0:1) is starting
INFO   | jvm 1    | 2024/05/08 15:03:56 |  INFO | Listening for connections at: tcp://THUYKIEU:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2024/05/08 15:03:56 |  INFO | Connector openwire started
INFO   | jvm 1    | 2024/05/08 15:03:56 |  INFO | Listening for connections at: amqp://THUYKIEU:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2024/05/08 15:03:56 |  INFO | Connector amqp started
INFO   | jvm 1    | 2024/05/08 15:03:56 |  INFO | Listening for connections at: stomp://THUYKIEU:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2024/05/08 15:03:56 |  INFO | Connector stomp started
INFO   | jvm 1    | 2024/05/08 15:03:56 |  INFO | Listening for connections at: mqtt://THUYKIEU:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2024/05/08 15:03:56 |  INFO | Connector mqtt started
INFO   | jvm 1    | 2024/05/08 15:03:56 |  INFO | Starting Jetty server
INFO   | jvm 1    | 2024/05/08 15:03:56 |  INFO | Creating Jetty connector
INFO   | jvm 1    | 2024/05/08 15:03:57 |  WARN | ServletContext@o.e.j.s.ServletContextHandler@4980bd44{/,null,STARTING} has uncovered HTTP methods for the following paths: [/]
INFO   | jvm 1    | 2024/05/08 15:03:57 |  INFO | Listening for connections at ws://THUYKIEU:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2024/05/08 15:03:57 |  INFO | Connector ws started
INFO   | jvm 1    | 2024/05/08 15:03:57 |  INFO | Apache ActiveMQ 6.0.1 (localhost, ID:THUYKIEU-55181-1715155436489-0:1) started
INFO   | jvm 1    | 2024/05/08 15:03:57 |  INFO | For help or more information please see: http://activemq.apache.org
INFO   | jvm 1    | 2024/05/08 15:03:59 |  INFO | ActiveMQ WebConsole available at http://127.0.0.1:8161/
INFO   | jvm 1    | 2024/05/08 15:03:59 |  INFO | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/
